,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
56,2023-03-24,MMM,100.37000274658205,101.33999633789062,100.16000366210938,101.13999938964844,96.6369400024414,3552900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2023-03-27,MMM,102.22000122070312,102.27999877929688,100.5999984741211,101.48999786376952,96.97135925292967,2797400.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2023-03-28,MMM,101.58999633789062,102.83000183105467,101.30999755859376,101.73999786376952,97.21022033691406,2462800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2023-03-29,MMM,102.80999755859376,103.23999786376952,101.9000015258789,103.19000244140624,98.59567260742188,3221600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2023-03-30,MMM,103.75,103.91999816894533,102.52999877929688,102.77999877929688,98.20392608642578,2349700.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2023-03-31,MMM,103.5,105.19000244140624,103.01000213623048,105.11000061035156,100.43019104003906,3611500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2023-04-03,MMM,105.1500015258789,105.83999633789062,104.18000030517578,104.56999969482422,99.91423034667967,4017300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2023-04-04,MMM,104.9000015258789,104.9000015258789,102.06999969482422,102.25,97.69752502441406,3473300.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2023-04-05,MMM,102.36000061035156,102.7699966430664,101.68000030517578,102.29000091552734,97.7357406616211,2652000.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
65,2023-04-06,MMM,102.3499984741211,102.8000030517578,101.5199966430664,101.55999755859376,97.03824615478516,2419200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2023-04-10,MMM,101.5999984741211,103.12999725341795,101.0500030517578,102.76000213623048,98.18482208251952,2880200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2023-04-11,MMM,103.62999725341795,104.77999877929688,103.30999755859376,104.55999755859376,99.90467834472656,2952000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2023-04-12,MMM,105.0,105.1500015258789,103.69000244140624,104.37000274658205,99.72313690185548,2724800.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2023-04-13,MMM,104.83999633789062,106.44000244140624,104.08999633789062,106.1500015258789,101.42388153076172,3435200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2023-04-14,MMM,106.0,107.12000274658205,105.01000213623048,105.7699966430664,101.06079864501952,2793600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2023-04-17,MMM,106.16000366210938,107.0999984741211,105.94000244140624,106.77999877929688,102.0258331298828,2434100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2023-04-18,MMM,107.2300033569336,107.3000030517578,105.87000274658205,106.2699966430664,101.53853607177734,1912100.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2023-04-19,MMM,105.6999969482422,106.33999633789062,105.45999908447266,106.08000183105467,101.35699462890624,1918000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2023-04-20,MMM,105.45999908447266,105.58999633789062,104.11000061035156,104.7300033569336,100.06710052490234,3695300.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2023-04-21,MMM,104.9800033569336,105.12000274658205,104.05999755859376,104.4800033569336,99.82823944091795,6391800.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2023-04-24,MMM,105.0500030517578,105.30999755859376,104.36000061035156,105.05999755859376,100.38240814208984,3536000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2023-04-25,MMM,105.68000030517578,107.3000030517578,104.16000366210938,104.37000274658205,99.72313690185548,5071400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2023-04-26,MMM,104.0,105.1999969482422,102.7699966430664,102.91999816894533,98.3376922607422,3173400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2023-04-27,MMM,103.08000183105467,105.38999938964844,103.08000183105467,105.33000183105467,100.64038848876952,2393100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2023-04-28,MMM,105.30999755859376,106.41000366210938,105.1500015258789,106.22000122070312,101.4907684326172,3983200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2023-05-01,MMM,106.33999633789062,106.83000183105467,105.55999755859376,105.8499984741211,101.13723754882812,2289300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2023-05-02,MMM,105.51000213623048,105.6999969482422,102.66000366210938,102.9800033569336,98.39502716064452,3012000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2023-05-03,MMM,103.5,104.5999984741211,102.66999816894533,102.83000183105467,98.25170135498048,2056100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2023-05-04,MMM,102.5500030517578,102.9800033569336,100.76000213623048,101.83999633789062,97.30577087402344,2963200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2023-05-05,MMM,102.8000030517578,103.4800033569336,102.0500030517578,103.3499984741211,98.74854278564452,1943100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2023-05-08,MMM,103.55999755859376,103.93000030517578,101.6500015258789,102.33999633789062,97.78351593017578,2094000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2023-05-09,MMM,101.47000122070312,101.75,100.4000015258789,100.8000030517578,96.31208801269533,3121400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2023-05-10,MMM,101.38999938964844,101.6999969482422,99.5999984741211,100.9000015258789,96.40763092041016,2744100.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
89,2023-05-11,MMM,100.5,101.0,99.8000030517578,100.77999877929688,96.29296875,2774000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2023-05-12,MMM,101.20999908447266,101.2699966430664,99.2699966430664,100.2699966430664,95.80567932128906,2455300.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2023-05-15,MMM,100.06999969482422,100.83000183105467,99.2699966430664,100.48999786376952,96.01587677001952,2407000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2023-05-16,MMM,100.0,100.04000091552734,98.0,98.01000213623048,93.64630126953124,3743100.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2023-05-17,MMM,98.41999816894533,100.30999755859376,98.0,100.18000030517578,95.71968841552734,3578000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2023-05-18,MMM,98.44000244140624,99.83999633789062,98.05999755859376,99.63999938964844,96.65087890625,2914300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2023-05-19,MMM,100.25,100.47000122070312,98.66999816894533,99.02999877929688,96.0591812133789,2698400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2023-05-22,MMM,98.87999725341795,102.04000091552734,98.31999969482422,101.70999908447266,98.65878295898438,4187300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2023-05-23,MMM,101.70999908447266,102.83999633789062,100.66000366210938,100.6999969482422,97.67908477783205,3616200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2023-05-24,MMM,100.4499969482422,100.6999969482422,96.97000122070312,96.98999786376952,94.08038330078124,4132600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2023-05-25,MMM,96.5500030517578,97.20999908447266,95.3499984741211,97.0500030517578,94.13858795166016,3119600.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
100,2023-05-26,MMM,97.0500030517578,97.44000244140624,96.37000274658205,96.94000244140624,94.0318832397461,2787400.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
101,2023-05-30,MMM,96.93000030517578,97.1999969482422,95.1999969482422,96.05999755859376,93.17827606201172,2870800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2023-05-31,MMM,95.0,95.7699966430664,93.19000244140624,93.30999755859376,90.51077270507812,6191700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2023-06-01,MMM,93.47000122070312,94.58000183105467,92.37999725341795,94.27999877929688,91.4516830444336,3329500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2023-06-02,MMM,96.0999984741211,104.5500030517578,96.04000091552734,102.52999877929688,99.45418548583984,14149500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2023-06-05,MMM,100.9000015258789,102.48999786376952,97.91000366210938,97.9800033569336,95.04068756103516,5912000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2023-06-06,MMM,98.05999755859376,99.62999725341795,97.29000091552734,98.29000091552734,95.34138488769533,4474100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2023-06-07,MMM,98.72000122070312,101.16000366210938,97.5999984741211,101.0,97.97008514404295,3341200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2023-06-08,MMM,100.8000030517578,101.3499984741211,99.58000183105467,100.76000213623048,97.73728942871094,3150900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2023-06-09,MMM,100.6999969482422,101.58999633789062,98.1999969482422,99.9000015258789,96.90308380126952,4513600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2023-06-12,MMM,100.3499984741211,102.44000244140624,100.20999908447266,101.26000213623048,98.2222900390625,3499900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
