,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
2760,2760,2024-01-02,APD,272.3299865722656,274.8699951171875,272.3299865722656,273.4700012207031,273.4700012207031,1109200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011,3011,2024-01-02,ABNB,134.42999267578125,135.60000610351562,133.33999633789062,134.47999572753906,134.47999572753906,3483300.0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
3262,3262,2024-01-02,AKAM,117.13999938964844,117.41999816894533,116.37999725341795,116.87999725341795,116.87999725341795,1216900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3513,3513,2024-01-02,ALK,38.68999862670898,39.20000076293945,38.2599983215332,38.34000015258789,38.34000015258789,2129000.0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
3764,3764,2024-01-02,ALB,143.0,149.61000061035156,141.25999450683594,146.88999938964844,146.88999938964844,1961800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4015,4015,2024-01-02,ARE,127.0,131.36000061035156,126.0,129.30999755859375,129.30999755859375,964900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4266,4266,2024-01-02,ALGN,271.0,272.8599853515625,266.07000732421875,268.9200134277344,268.9200134277344,761800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4517,4517,2024-01-02,ALLE,125.91999816894533,126.4800033569336,123.4800033569336,124.25,124.25,1003700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4768,4768,2024-01-02,LNT,50.70000076293945,51.93000030517578,50.70000076293945,51.880001068115234,51.880001068115234,2106800.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5019,5019,2024-01-02,ALL,140.3300018310547,143.91000366210938,140.3300018310547,143.80999755859375,143.80999755859375,2263600.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5270,5270,2024-01-02,GOOGL,138.5500030517578,139.4499969482422,136.47999572753906,138.1699981689453,138.1699981689453,23685600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5521,5521,2024-01-02,GOOG,139.60000610351562,140.61500549316406,137.74000549316406,139.55999755859375,139.55999755859375,20056400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5772,5772,2024-01-02,MO,40.36000061035156,41.65999984741211,40.34000015258789,41.58000183105469,41.58000183105469,12612600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6023,6023,2024-01-02,AMZN,151.5399932861328,152.3800048828125,148.38999938964844,149.92999267578125,149.92999267578125,47294600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6274,6274,2024-01-02,AMCR,9.640000343322754,9.93000030517578,9.609999656677246,9.75,9.75,10438900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6525,6525,2024-01-02,AEE,72.12999725341797,74.01000213623047,71.81999969482422,74.0,74.0,1530900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6776,6776,2024-01-02,AAL,13.649999618530272,13.720000267028809,13.390000343322754,13.4399995803833,13.4399995803833,34582200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7027,7027,2024-01-02,AEP,81.0,83.33999633789062,80.80999755859375,83.18000030517578,83.18000030517578,3429100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
