No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
180,FOXF,Fox Factory Holding Corp,Consumer Cyclical,Auto Parts,USA,1270.2,122.17,31.3,-2.64%,757191
181,FSM,Fortuna Mining Corp,Basic Materials,Gold,Canada,1475.78,64.7,4.71,-3.88%,7552442
182,FTAI,FTAI Aviation Ltd,Industrials,Rental & Leasing Services,USA,13171.84,,131.72,-2.49%,2343598
183,FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,USA,13239.12,20.4,31,0.39%,2355630
184,FUN,Six Flags Entertainment Corp,Consumer Cyclical,Leisure,USA,4573.25,,46.1,-1.07%,1023405
185,GAP,"Gap, Inc",Consumer Cyclical,Apparel Retail,USA,9201.96,11.29,24.29,0.45%,4814365
186,GATO,Gatos Silver Inc,Basic Materials,Other Precious Metals & Mining,Canada,1033.07,31.75,15.27,-2.61%,390456
187,GEL,Genesis Energy L.P,Energy,Oil & Gas Midstream,USA,1258.86,,10.59,-2.93%,630091
188,GENI,Genius Sports Limited,Communication Services,Internet Content & Information,United Kingdom,2105.8,,9.15,0.22%,1735090
189,GETY,Getty Images Holdings Inc,Communication Services,Internet Content & Information,USA,1089.41,20.43,2.67,-0.74%,435196
190,GFS,GlobalFoundries Inc,Technology,Semiconductors,USA,24320.15,32.9,43.88,-0.23%,1031245
191,GIII,G-III Apparel Group Ltd,Consumer Cyclical,Apparel Manufacturing,USA,1650.61,9.44,36.1,4.18%,624210
192,GMS,GMS Inc,Industrials,Building Products & Equipment,USA,3481.71,16.72,91,-1.43%,336731
193,GRBK,Green Brick Partners Inc,Consumer Cyclical,Residential Construction,USA,2793.73,8.34,64.22,-2.24%,289997
194,GT,Goodyear Tire & Rubber Co,Consumer Cyclical,Auto Parts,USA,2846.39,,10.03,-0.40%,2392059
195,GTLS,Chart Industries Inc,Industrials,Specialty Industrial Machinery,USA,8471.45,55.73,197.87,0.01%,853764
196,GXO,GXO Logistics Inc,Industrials,Integrated Freight & Logistics,USA,5754.58,54.33,48.51,-0.72%,1043830
