,Datetime,Interval,Ticker,Open,High,Low,Close,Volume,Avg_Volume_10,RSI,ATR,vol_vs_avrg_vol,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,be_signal,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,bu_signal,Combined_Signals_65
5937,2024-12-03 11:30:00-05:00,30m,V,314.885009765625,314.9700012207031,313.4100036621094,313.6099853515625,254010,303927.1,41.3360364181622,1.1815553514160075,0.83575962788445,315.16337432861326,314.54478759765624,,313.82699021559495,63,65.36350983178606,316.8949890136719,41.3360364181622,313.4100036621094,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
6199,2024-12-05 09:30:00-05:00,30m,MS,129.93499755859375,131.3800048828125,129.4199981689453,131.3300018310547,513832,349198.4,57.0723835717192,0.6394090378700408,1.4714614958144137,130.4155044555664,131.1198095703125,132.6817212677002,131.1486825796274,41,49.03082249467256,130.9600067138672,39.12045041049568,129.7100067138672,0,1,0,0,0,0,1,0,0,2,1,Buy,Buy
6202,2024-12-05 11:00:00-05:00,30m,MS,131.13250732421875,131.6699981689453,131.1199951171875,131.64999389648438,161666,343462.9,59.26290427404531,0.6414598549531688,0.4706942147172227,130.49950408935547,131.13200927734374,132.66812126159667,131.1511439396785,38,59.26290427404531,131.6699981689453,39.12045041049568,129.7100067138672,0,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6203,2024-12-05 11:30:00-05:00,30m,MS,131.6750030517578,131.77000427246094,131.33999633789062,131.55999755859375,233641,349150.3,58.17548860485432,0.6263561463543933,0.6691702685061419,130.5552536010742,131.13400909423828,132.66701972961425,131.1548360971304,37,59.26290427404531,131.6699981689453,39.12045041049568,129.7100067138672,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6204,2024-12-05 12:00:00-05:00,30m,MS,131.57000732421875,131.64999389648438,131.1999969482422,131.24000549316406,332152,356750.3,54.35637812208255,0.61375906077495,0.9310489717878304,130.60425415039063,131.12380920410158,132.66266975402831,131.15452857384315,36,59.26290427404531,131.6699981689453,39.12045041049568,129.7100067138672,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6205,2024-12-05 12:30:00-05:00,30m,MS,131.22999572753906,131.3199005126953,131.0500030517578,131.25999450683594,320460,362122.5,54.55706795270542,0.5891975179294179,0.8849491539465236,130.6452537536621,131.10680908203125,132.6565697479248,131.14329763559195,35,59.26290427404531,131.6699981689453,39.12045041049568,129.7100067138672,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6627,2024-11-27 13:00:00-05:00,30m,ON,69.25,69.95999908447266,69.13600158691406,69.87000274658203,174587,258235.1,44.2361158293856,0.5849413532920476,0.6760777291700469,70.42619018554687,70.56090438842773,,69.8255878155048,93,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6628,2024-11-27 13:30:00-05:00,30m,ON,69.87000274658203,70.47000122070312,69.87000274658203,70.40499877929688,125860,250322.2,50.32700515865437,0.5860168619226938,0.5027920016682499,70.37144012451172,70.5978044128418,,69.89728006216195,92,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6629,2024-11-27 14:00:00-05:00,30m,ON,70.38999938964844,70.45999908447266,70.0250015258789,70.18000030517578,145112,193541.0,47.954689527786925,0.5752297688277691,0.7497739497057471,70.3209400177002,70.62470443725586,,69.96143388014573,91,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6630,2024-11-27 14:30:00-05:00,30m,ON,70.16999816894531,70.58999633789062,70.16999816894531,70.48999786376953,160441,182465.7,51.356862180124,0.5641417974075936,0.8792940262197223,70.28793983459472,70.66450439453125,,70.02743389423077,90,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
