,Datetime,Interval,Ticker,Combined_Signals_65,SMA_65_trend,Open,High,Close_SMA65_Diff_Percent,vol_vs_avrg_vol,RSI,Low,Close,Volume,Avg_Volume_10,ATR,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,SMA_65_trend_diff
372,12/11:30,1h,IOT,Buy,Down,46.27,46.33,-5.33,0.34,32.19,45.98,46.15,183014,541560.4,0.72,46.46,50.97,51.52,48.75,12,40.32,53.06,32.19,45.98,1,0,0,0,1,0,0,0,2,0,-0.2712120287346096
373,12/12:30,1h,IOT,Buy,Down,46.13,46.43,-4.34,0.63,35.46,46.06,46.38,288602,458617.4,0.7,46.26,50.83,51.51,48.48,11,40.32,53.06,32.19,45.98,1,0,0,0,1,1,0,0,2,0,-0.2665150960286411
374,12/14:30,1h,IOT,Buy,Down,46.01,46.12,-4.21,0.89,32.37,45.85,45.96,366614,411615.6,0.65,45.84,50.5,51.49,47.98,9,40.32,53.06,32.19,45.98,1,0,0,0,1,1,1,1,2,0,-0.2239393754438907
375,12/15:30,1h,IOT,Buy,Down,45.96,46.58,-2.92,1.97,38.93,45.96,46.41,936238,475764.0,0.65,45.84,50.35,51.48,47.81,8,38.93,46.58,32.19,45.98,0,0,0,0,1,1,0,0,2,0,-0.1733333703243431
2317,12/11:30,1h,JPM,Buy,Down,242.45,242.54,-1.1,0.62,33.69,241.75,241.77,420704,680878.2,1.31,243.38,244.55,241.42,244.45,12,44.66,243.97,32.52,242.38,1,0,0,0,1,1,1,1,2,0,-0.1321212306166614
2318,12/12:30,1h,JPM,Buy,Down,241.76,241.98,-1.14,1.47,32.45,241.21,241.53,930015,633656.3,1.27,243.2,244.47,241.51,244.31,11,44.66,243.97,32.52,242.38,1,0,0,0,1,0,1,0,2,0,-0.1412122321851541
2319,12/13:30,1h,JPM,Buy,Down,241.55,241.71,-1.24,0.76,30.58,241.04,241.16,458681,600670.5,1.23,243.02,244.37,241.6,244.18,10,44.66,243.97,32.52,242.38,1,0,0,0,1,0,1,0,2,0,-0.1312121766986536
2320,12/14:30,1h,JPM,Buy,Down,241.15,242.28,-0.77,0.97,40.93,241.04,242.21,590093,606933.0,1.23,242.94,244.29,241.69,244.09,9,40.93,242.28,32.52,242.38,0,0,0,0,1,1,1,1,2,0,-0.0907574277935054
2321,12/15:30,1h,JPM,Buy,Down,242.2,242.46,-0.99,1.23,37.14,241.5,241.54,796415,647459.2,1.21,242.87,244.21,241.79,243.96,8,40.93,242.28,32.52,242.38,1,0,0,0,1,1,1,1,2,0,-0.1281821511009298
1038,12/09:30,1h,LOW,Buy,Down,268.32,268.39,-3.15,1.24,24.95,263.52,263.52,355730,286184.3,1.99,271.1,272.07,269.23,272.08,14,64.5,280.64,24.95,263.52,1,0,0,0,1,0,1,0,2,0,-0.215151700106503
1039,12/10:30,1h,LOW,Buy,Down,263.65,264.56,-2.76,1.06,29.18,263.05,264.38,317626,298359.2,1.96,270.55,271.93,269.24,271.89,13,64.5,280.64,24.95,263.52,1,0,0,0,1,1,0,0,2,0,-0.1887271765506852
1040,12/11:30,1h,LOW,Buy,Down,264.41,264.57,-2.85,0.73,28.36,263.19,263.97,206113,282932.0,1.92,270.0,271.8,269.25,271.71,12,64.5,280.64,24.95,263.52,1,0,0,0,1,1,0,0,2,0,-0.1821215080492493
1041,12/12:30,1h,LOW,Buy,Down,264.23,264.43,-2.76,0.62,28.62,263.47,264.02,157993,255978.5,1.85,269.43,271.63,269.27,271.51,11,64.5,280.64,24.95,263.52,1,0,0,0,1,1,0,0,2,0,-0.1956065784801239
1042,12/13:30,1h,LOW,Buy,Down,264.03,264.26,-2.89,0.55,27.41,263.31,263.46,133856,243262.6,1.79,268.89,271.44,269.27,271.31,10,64.5,280.64,24.95,263.52,1,0,0,0,1,1,1,1,2,0,-0.2012125651041287
1043,12/14:30,1h,LOW,Buy,Down,263.52,263.85,-2.7,0.81,28.23,263.1,263.6,197424,244072.9,1.71,268.36,271.22,269.28,270.92,9,64.5,280.64,24.95,263.52,1,0,0,0,1,1,0,0,2,0,-0.3921212861032472
1044,12/15:30,1h,LOW,Buy,Down,263.59,263.8,-2.6,1.44,28.06,263.12,263.53,389749,270067.7,1.64,267.97,271.0,269.28,270.57,8,64.5,280.64,24.95,263.52,1,0,0,0,1,1,0,0,2,0,-0.3428788618608109
2556,12/10:30,1h,LUNR,Buy,Down,12.3,12.33,-1.35,1.03,46.8,11.96,12.01,1471011,1422756.5,0.37,12.08,12.54,11.71,12.18,13,53.26,12.47,31.55,11.39,1,0,0,0,1,1,0,0,2,0,-0.0022212230797968
2557,12/11:30,1h,LUNR,Buy,Down,12.02,12.12,-3.0,0.77,42.76,11.69,11.8,1091948,1417033.4,0.37,12.03,12.49,11.74,12.16,12,53.26,12.47,31.55,11.39,1,0,0,0,1,1,0,0,2,0,-0.0115121205647792
2558,12/12:30,1h,LUNR,Buy,Down,11.8,11.97,-2.08,0.39,45.28,11.74,11.9,435320,1122275.3,0.36,11.98,12.45,11.76,12.16,11,53.26,12.47,31.55,11.39,1,0,0,0,1,1,0,0,2,0,-0.0066666747584473
1915,12/09:30,1h,MRVL,Buy,Down,110.53,110.94,-0.68,1.44,50.51,108.77,109.49,2514997,1748202.8,1.63,108.42,109.7,95.0,110.24,14,61.02,111.98,36.36,105.07,1,0,0,0,1,1,0,0,2,0,-0.1679606582179076
1916,12/10:30,1h,MRVL,Buy,Down,109.48,109.78,-0.93,0.66,48.82,109.01,109.07,1135798,1727426.3,1.57,108.48,109.93,95.15,110.09,13,61.02,111.98,36.36,105.07,1,0,0,0,1,1,0,0,2,0,-0.1487879897608905
398,12/13:30,1h,NVAX,Buy,Up,9.19,9.2,-0.59,1.26,50.29,8.88,8.91,435709,345651.2,0.18,8.9,8.74,8.64,8.96,10,66.73,9.23,50.29,8.88,1,0,0,0,1,0,0,0,2,0,0.0190909125588145
28,12/09:30,1h,NVDA,Buy,Down,137.1,137.55,-2.22,2.03,41.36,135.8,136.67,52104111,25645088.3,1.62,137.82,140.68,141.56,139.78,14,55.33,140.17,41.36,135.8,1,0,0,0,1,0,0,0,2,0,-0.2826061826763748
29,12/10:30,1h,NVDA,Buy,Down,136.66,137.53,-2.02,0.77,41.58,136.38,136.72,18884134,24656634.7,1.59,137.73,140.64,141.58,139.53,13,55.33,140.17,41.36,135.8,1,0,0,0,1,1,0,0,2,0,-0.2484847560073149
30,12/11:30,1h,NVDA,Buy,Down,136.73,137.39,-1.39,0.56,44.68,136.09,137.37,13556780,24108364.4,1.57,137.62,140.6,141.59,139.31,12,55.33,140.17,41.36,135.8,1,0,0,0,1,1,0,0,2,0,-0.2274516712535614
1012,12/09:30,1h,NVO,Sell,Up,110.88,111.17,0.34,0.92,53.04,110.39,110.85,705010,762988.8,0.71,110.62,110.19,107.37,110.47,14,64.2,111.89,38.22,108.78,1,0,0,2,0,1,0,0,0,1,0.0590908166134056
959,12/12:30,1h,PG,Buy,Down,170.56,170.61,-1.25,0.54,31.97,170.26,170.3,213441,396609.3,0.78,171.64,173.47,171.05,172.45,11,46.96,173.39,31.44,170.4,1,0,0,0,1,1,1,1,2,0,-0.1721209901751876
960,12/13:30,1h,PG,Buy,Down,170.29,170.36,-1.27,0.65,30.63,170.07,170.08,242786,371928.5,0.74,171.59,173.32,171.07,172.27,10,46.96,173.39,30.63,170.07,1,0,0,0,1,0,0,0,2,0,-0.1821210456616881
961,12/14:30,1h,PG,Buy,Down,170.08,170.91,-0.72,1.07,40.32,170.02,170.87,408200,382097.8,0.76,171.59,173.22,171.09,172.11,9,46.96,173.39,30.63,170.07,1,0,0,0,1,1,0,0,2,0,-0.1642423687559357
962,12/15:30,1h,PG,Buy,Down,170.88,171.04,-0.63,1.42,40.32,170.67,170.87,595930,419561.0,0.73,171.56,173.11,171.12,171.96,8,46.96,173.39,30.63,170.07,1,0,0,0,1,1,0,0,2,0,-0.147727272727252
485,12/09:30,1h,RCL,Buy,Down,244.4,248.08,-1.97,1.03,40.01,244.4,244.98,538467,522400.4,2.81,247.58,249.26,234.82,249.9,14,48.96,250.0,39.66,245.19,1,0,0,0,1,1,1,1,2,0,-0.2518181078361863
486,12/10:30,1h,RCL,Buy,Down,244.91,245.3,-1.82,0.78,40.62,243.59,245.13,384202,494236.5,2.73,247.37,249.23,235.0,249.69,13,48.96,250.0,39.66,245.19,1,0,0,0,1,1,1,1,2,0,-0.2116666851621573
487,12/11:30,1h,RCL,Buy,Down,244.99,245.3,-1.92,0.43,39.31,244.05,244.66,178687,416884.6,2.62,247.11,249.23,235.18,249.46,12,48.96,250.0,39.66,245.19,1,0,0,0,1,0,1,0,2,0,-0.2306060791015625
488,12/12:30,1h,RCL,Buy,Down,244.05,245.17,-1.78,0.47,40.01,244.05,244.82,185368,392516.3,2.52,246.92,249.21,235.36,249.27,11,48.96,250.0,39.66,245.19,1,0,0,0,1,1,1,1,2,0,-0.1909059466737801
489,12/13:30,1h,RCL,Buy,Down,244.51,245.1,-2.02,0.68,37.69,243.89,244.03,262501,388364.1,2.42,246.77,249.18,235.54,249.05,10,48.96,250.0,37.69,243.89,1,0,0,0,1,0,0,0,2,0,-0.2154545639500327
490,12/14:30,1h,RCL,Buy,Down,244.62,245.25,-1.75,1.01,39.51,243.53,244.41,404400,401085.5,2.37,246.63,249.14,235.73,248.75,9,48.96,250.0,37.69,243.89,1,0,0,0,1,1,0,0,2,0,-0.2984845710523416
491,12/15:30,1h,RCL,Buy,Down,244.41,245.25,-1.78,1.86,38.21,243.88,244.0,859715,463241.7,2.3,246.22,249.11,235.91,248.42,8,48.96,250.0,37.69,243.89,1,0,0,0,1,1,0,0,2,0,-0.33212141557172
2961,12/09:30,1h,RGTI,Sell,Up,6.64,7.86,46.29,1.47,83.71,6.51,7.61,58106723,39521077.2,0.62,6.06,4.48,2.37,5.2,14,83.71,7.86,73.22,5.84,0,0,0,2,0,1,0,0,0,1,0.1369697036165185
2962,12/10:30,1h,RGTI,Sell,Up,7.62,7.89,34.07,0.8,71.14,6.96,7.14,32487839,40697456.6,0.64,6.2,4.57,2.4,5.32,13,83.71,7.86,73.22,5.84,1,0,0,2,0,0,0,0,0,1,0.1228424274560175
2963,12/11:30,1h,RGTI,Sell,Up,7.14,7.18,27.07,0.26,65.77,6.9,6.9,10755406,40721609.5,0.62,6.33,4.64,2.43,5.43,12,83.71,7.86,73.22,5.84,1,0,0,2,0,0,0,0,0,1,0.1060939413128476
2964,12/12:30,1h,RGTI,Sell,Up,6.9,7.08,26.8,0.27,67.21,6.81,7.03,6558498,24153359.8,0.59,6.46,4.72,2.46,5.54,11,83.71,7.86,73.22,5.84,1,0,0,2,0,0,0,0,0,1,0.1133333408471308
2965,12/13:30,1h,RGTI,Sell,Up,7.03,7.03,18.58,0.52,60.21,6.53,6.7,11303591,21718686.5,0.58,6.57,4.79,2.48,5.65,10,83.71,7.86,73.22,5.84,1,0,0,2,0,0,0,0,0,1,0.1060605988358007
