Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-07-23,THC,TenetHealthca,138.64,+3.74,2.77%,10660,57517,46.25%,+468.23%,8398,2262,0.2693
24-07-23,EVRI,EveriHoldings,9.18,+0.80,9.55%,4460,7191,23.17%,+432.22%,4375,85,0.0194
24-07-23,GE,GEAerospace,174.46,+11.70,7.19%,110081,348053,52.91%,+420.03%,88383,21698,0.2455
24-07-23,IMVT,ImmunovantInc,27.73,-0.27,-0.96%,4486,16453,11.26%,+415.63%,4221,265,0.0628
24-07-23,UPS,UnitedParcel,125.45,-19.73,-13.59%,167560,342381,53.50%,+411.81%,85681,81879,0.9556
24-07-23,DB,DeutscheBank,17.03,+0.10,0.62%,5443,71884,22.26%,+400.74%,2471,2972,1.2028
24-07-23,QRVO,QorvoInc,124.61,-0.88,-0.70%,4143,21452,88.46%,+388.56%,2076,2067,0.9957
24-07-23,SOLV,SolventumCorp,56.02,+1.89,3.49%,3034,7436,83.28%,+379.30%,1268,1766,1.3927
24-07-23,BSX,BostonScienti,79.4,+1.13,1.44%,56835,249979,66.89%,+378.21%,14123,42712,3.0243
24-07-23,PM,PhilipMorris,109.76,+2.54,2.37%,34769,159944,32.74%,+373.69%,29748,5021,0.1688
24-07-23,MMYT,MakemytripLtd,94.39,+4.76,5.32%,3212,13248,71.00%,+360.17%,2911,301,0.1034
24-07-23,REI,RingEnergyIn,1.8981,-0.04,-2.16%,3269,94684,36.03%,+350.90%,3263,6,0.0018
24-07-23,CSTL,CastleBioscie,20.04,+0.14,0.70%,2091,1207,79.75%,+333.82%,2091,0,0.0000
24-07-23,DEI,DouglasEmmett,15.42,+0.34,2.25%,3020,12031,25.47%,+332.66%,17,3003,176.6471
24-07-23,HOG,Harley-Davidso,34.87,-0.46,-1.30%,12714,47246,100.00%,+316.99%,761,11953,15.7070
24-07-23,SPOT,SpotifyTechno,329.52,+34.07,11.53%,69919,172254,35.74%,+314.90%,40089,29830,0.7441
24-07-23,BMEA,BiomeaFusion,5.46,+0.00,0.00%,2055,22944,31.85%,+304.53%,2054,1,0.0005
24-07-23,KTOS,KratosDefns,22.38,+0.98,4.58%,4192,23713,35.42%,+304.24%,2218,1974,0.8900
24-07-23,NICE,NiceLtdADR,183.99,+2.56,1.41%,5804,58484,76.48%,+299.45%,3962,1842,0.4649
24-07-23,MAT,MattelInc,17.57,-1.11,-5.97%,8099,40013,61.20%,+298.57%,3832,4267,1.1135
24-07-23,CYH,CommunityHeal,3.97,+0.02,0.51%,5381,65013,48.16%,+294.50%,5081,300,0.0590
24-07-23,FI,FiservInc,158.51,-0.12,-0.07%,6258,33990,82.55%,+286.77%,1619,4639,2.8653
24-07-23,CARR,CarrierGlobal,68.77,+0.77,1.13%,11398,98521,65.44%,+283.38%,3452,7946,2.3019
