Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
GNRC,GeneracHoldin,137.3,+4.14,3.11%,9453,58310,46.87%,+191.49%,7835,1618,0.2065
VTR,VentasInc,51.79,+0.91,1.79%,3398,28621,24.12%,+185.31%,3345,53,0.0158
CWH,CampingWorld,17.92,+0.35,1.99%,5108,31365,49.95%,+183.94%,573,4535,7.9145
TPX,Tempur-PedicI,48.32,+1.11,2.35%,20345,90962,45.69%,+169.61%,5310,15035,2.8315
SYY,SyscoCorp,70.59,+0.71,1.02%,2656,44591,18.97%,+168.28%,1457,1199,0.8229
BAX,BaxterInterna,32.85,-0.21,-0.64%,11496,73758,52.30%,+166.91%,11040,456,0.0413
SM,SmEnergyComp,44.35,+0.69,1.58%,2521,28437,20.08%,+164.81%,2024,497,0.2456
SPGI,S&PGlobalInc,450.45,+4.13,0.93%,2452,26525,46.02%,+163.94%,2214,238,0.1075
FAST,FastenalCompa,62.76,+0.67,1.08%,3520,67677,86.38%,+163.47%,1659,1861,1.1218
URBN,UrbanOutfitte,42.75,+0.20,0.47%,4163,26454,24.51%,+159.86%,1312,2851,2.1730
DFS,DiscoverFinan,133.54,+0.59,0.44%,4286,31377,69.36%,+149.91%,3874,412,0.1064
UAA,UnderArmour,6.44,-0.07,-1.08%,3863,314603,36.42%,+149.55%,932,2931,3.1448
HAS,HasbroInc,57.06,-0.46,-0.80%,2698,69451,23.62%,+148.43%,1653,1045,0.6322
PSX,Phillips66,140.47,-0.46,-0.33%,8237,72070,43.42%,+145.73%,6787,1450,0.2136
D,DominionEnerg,48.54,+0.53,1.10%,5224,100441,8.95%,+142.08%,3196,2028,0.6345
RF,RegionsFinanc,20.09,+0.19,0.95%,3755,82539,24.47%,+138.56%,1854,1901,1.0254
RILY,B.RileyFinan,16.81,-0.64,-3.67%,30679,188298,32.83%,+138.28%,4515,26164,5.7949
LLY,EliLillyand,906.71,-7.66,-0.84%,83038,256392,27.09%,+128.31%,49747,33291,0.6692
ABR,ArborRealtyT,14.55,+0.36,2.54%,24768,414240,0.00%,+127.77%,17067,7701,0.4512
AA,AlcoaCorp,40.83,+1.13,2.85%,35060,263172,78.15%,+126.06%,28060,7000,0.2495
NAT,NordicAmerica,3.98,+0.00,0.00%,3163,89529,16.34%,+120.88%,1073,2090,1.9478
DBI,DesignerBrand,6.45,-0.24,-3.59%,4668,28791,35.22%,+118.33%,4303,365,0.0848
CHRW,C.H.Robinson,86.15,-0.66,-0.76%,3990,54108,38.05%,+115.56%,3644,346,0.0950
"TSLA
watching",TeslaInc,231.26,+21.40,10.20%,4223518,7279423,76.11%,+115.31%,2451911,1771607,0.7225
GLBE,Global-EOnlin,36.33,-0.64,-1.73%,4249,84155,32.61%,+112.24%,944,3305,3.5011
BXMT,BlackstoneMor,17.27,+0.14,0.82%,3573,100584,11.97%,+110.80%,1812,1761,0.9719
NDAQ,NasdaqInc,59.96,+0.48,0.81%,3767,25478,15.49%,+108.47%,2010,1757,0.8741
NEP,NexteraEnergy,25.3,+0.09,0.36%,6325,82775,22.66%,+108.26%,4217,2108,0.4999
RIG,TransoceanInc,5.17,+0.12,2.38%,44176,925586,82.60%,+108.22%,40775,3401,0.0834
EOSE,EosEnergyEnt,1.55,+0.09,6.16%,21995,324725,12.09%,+107.36%,19397,2598,0.1339
ARRY,ArrayTechnolo,9.63,+0.06,0.63%,4429,78375,53.34%,+106.00%,3217,1212,0.3767
AAOI,AppliedOptoel,7.9,-0.18,-2.23%,6624,50845,0.00%,+105.40%,5366,1258,0.2344
NKE,NikeInc,76.04,-0.79,-1.03%,343095,1359219,8.20%,+104.44%,182351,160744,0.8815
ABNB,AirbnbIncCl,154.34,+2.71,1.79%,51122,347641,15.58%,+103.64%,38845,12277,0.3161
WIX,Wix.comLtd,157.73,+0.41,0.26%,3322,48254,35.50%,+103.55%,208,3114,14.9712
BPMC,BlueprintMedi,110.36,+1.18,1.08%,3334,43720,27.42%,+102.55%,1309,2025,1.5470
AGNC,AgncInvestmen,9.66,+0.18,1.90%,49859,588850,19.61%,+97.66%,10701,39158,3.6593
AZN,AstrazenecaPl,76.99,-0.95,-1.22%,9121,113507,48.36%,+94.73%,2356,6765,2.8714
OVV,OvintivInc,46.89,-0.05,-0.11%,2673,49977,16.14%,+93.98%,473,2200,4.6512
SMR,NuscalePower,10.93,+0.00,0.00%,12164,117500,44.37%,+93.48%,5561,6603,1.1874
AMBC,AmbacFinancia,12.51,+0.00,0.00%,2341,45380,66.36%,+91.10%,2341,0,0.0000
FLUT,FlutterEntert,190.38,+4.07,2.18%,2480,16543,41.63%,+89.89%,1464,1016,0.6940
CNC,CenteneCorp,66.19,+0.85,1.30%,5417,59282,49.92%,+89.54%,1160,4257,3.6698
RDFN,RedfinCorp,5.65,-0.20,-3.42%,15102,242606,36.41%,+88.99%,7968,7134,0.8953
GS,GoldmanSachs,465.61,+1.95,0.42%,39784,248876,43.99%,+88.95%,27488,12296,0.4473
MPW,MedicalProper,4.03,-0.06,-1.47%,100669,1187720,35.86%,+88.68%,17276,83393,4.8271
PHM,Pultegroup,104.52,-1.71,-1.61%,3581,55709,54.71%,+88.18%,651,2930,4.5008
MGA,MagnaInternat,42.46,+0.91,2.19%,3338,23987,50.29%,+86.58%,2709,629,0.2322
HCA,HcaHoldingsI,319.7,+4.58,1.45%,3049,38085,45.23%,+86.26%,627,2422,3.8628
SAVA,CassavaScienc,11.79,-0.35,-2.88%,9339,109444,71.91%,+84.67%,4700,4639,0.9870
BUD,Anheuser-Busch,58.66,+0.31,0.53%,7990,146849,46.96%,+84.31%,5531,2459,0.4446
VSAT,ViasatInc,13.74,+1.16,9.22%,2773,42065,48.22%,+83.76%,2131,642,0.3013
CRBG,CorebridgeFin,29.59,+0.47,1.61%,8449,132541,28.17%,+83.55%,2163,6286,2.9061
NXT,NextrackerInc,45.32,-0.80,-1.73%,6294,64780,22.00%,+81.75%,3576,2718,0.7601
V,VisaInc,268.23,+4.99,1.90%,51686,304811,51.80%,+81.06%,29638,22048,0.7439
RMD,ResmedInc,189.35,+2.41,1.29%,3039,26397,34.28%,+81.00%,323,2716,8.4087
KR,KrogerCompany,50.43,-0.13,-0.26%,33606,277618,6.38%,+75.98%,28720,4886,0.1701
DHR,DanaherCorp,240.41,-4.10,-1.68%,9049,93634,70.37%,+73.85%,3413,5636,1.6513
FANG,DiamondbackEn,204.9,+1.19,0.58%,4850,74184,61.97%,+73.46%,2664,2186,0.8206
PSNY,GoresGuggenhe,0.9047,-0.01,-1.21%,4273,120385,63.01%,+72.93%,3919,354,0.0903
AES,TheAesCorp,17.53,+0.09,0.52%,5853,145505,37.45%,+71.34%,5696,157,0.0276
EAT,BrinkerIntern,71.06,-1.49,-2.05%,2979,25692,42.90%,+70.52%,175,2804,16.0229
LAC,LithiumAmeric,2.53,-0.12,-4.53%,2814,84251,37.44%,+70.03%,2260,554,0.2451
DHI,D.R.Horton,135.21,-1.81,-1.32%,8955,67427,63.84%,+66.51%,3830,5125,1.3381
SYF,SynchronyFina,48.03,-0.08,-0.17%,5276,103104,40.03%,+66.02%,4373,903,0.2065
HLF,HerbalifeLtd,11.15,+0.81,7.83%,4360,154305,40.61%,+65.46%,269,4091,15.2082
Z,ZillowGroupC,44.83,-0.81,-1.77%,28892,315699,48.18%,+64.69%,11237,17655,1.5711
AXP,AmericanExpre,235.97,+2.16,0.92%,21210,280091,52.65%,+63.17%,17268,3942,0.2283
CMG,ChipotleMexic,61.4,-0.41,-0.66%,107760,3215908,87.81%,+62.00%,63958,43802,0.6849
EXEL,ExelixisInc,22.15,-0.10,-0.45%,2840,60784,64.03%,+61.55%,2348,492,0.2095
SWK,StanleyBlack,79.39,+1.64,2.11%,3538,54736,37.23%,+61.33%,1310,2228,1.7008
MRO,MarathonOilC,28.58,-0.13,-0.45%,6514,177538,12.81%,+60.32%,6077,437,0.0719
AEO,AmericanEagle,19.36,-0.04,-0.21%,6255,60438,11.36%,+59.85%,5714,541,0.0947
KLAC,KLA-TencorC,839.11,+11.32,1.37%,3824,23759,68.04%,+56.72%,1925,1899,0.9865
MP,MPMaterialsC,13.74,+0.94,7.34%,6198,172713,59.07%,+54.03%,5550,648,0.1168
BE,BloomEnergyC,10.82,-0.55,-4.84%,11144,206676,49.95%,+53.29%,4479,6665,1.4881
RIVN,RivianAutomot,14.89,+0.97,6.97%,335620,2499864,22.61%,+50.66%,243922,91698,0.3759
PR,PermianResour,16.32,+0.22,1.37%,2814,107032,19.30%,+49.84%,1797,1017,0.5659
FUBO,FubotvInc,1.31,+0.05,3.97%,10915,315471,35.42%,+49.83%,10435,480,0.0460
IRM,IronMountain,90.85,+1.16,1.29%,3130,36506,25.63%,+48.06%,2642,488,0.1847
OKE,OneokInc,82.33,+0.61,0.75%,2781,98249,19.13%,+48.00%,1345,1436,1.0677
TEAM,AtlassianCorp,182.28,+4.03,2.26%,9253,54495,52.58%,+47.93%,6589,2664,0.4043
BIG,BigLots,1.61,-0.07,-4.17%,7281,111439,35.61%,+45.36%,2355,4926,2.0917
WBA,WalgreensBoot,11.57,-0.01,-0.09%,111458,826918,50.45%,+45.23%,66222,45236,0.6831
SNAP,SnapInc,16.26,+0.24,1.50%,71044,1192963,55.31%,+44.25%,42387,28657,0.6761
DIS,WaltDisneyCo,97.99,-0.05,-0.05%,137704,1086617,21.71%,+43.60%,107808,29896,0.2773
FND,Floor&Decor,96.07,+0.80,0.84%,5579,56387,52.58%,+43.12%,1706,3873,2.2702
BNTX,BiontechSeAD,78.76,-0.07,-0.09%,3584,51366,33.72%,+42.85%,2920,664,0.2274
CHWY,ChewyInc,24.87,-0.57,-2.24%,164960,723203,55.30%,+41.85%,113788,51172,0.4497
ODD,OddityTechLt,40.92,+1.75,4.47%,2479,29063,10.06%,+40.14%,312,2167,6.9455
CART,MaplebearInc,33.17,+0.77,2.38%,3860,80595,7.52%,+39.00%,3007,853,0.2837
LCID,LucidGroupIn,2.75,+0.11,4.17%,52892,1644544,21.20%,+38.87%,34204,18688,0.5464
TMC,TmcTheMetals,1.41,+0.08,6.02%,2845,122524,65.57%,+38.71%,2829,16,0.0057
OCGN,OcugenInc,1.61,-0.01,-0.92%,2554,67705,10.72%,+37.09%,2071,483,0.2332
TTD,TradeDeskInc,98.34,+0.37,0.38%,25008,261004,23.88%,+36.80%,13795,11213,0.8128
NVO,NovoNordiskA,142.98,-2.44,-1.68%,31501,239943,12.77%,+36.09%,21600,9901,0.4584
SE,SeaLtdADR,70.34,+0.95,1.37%,17948,414879,2.37%,+35.47%,11418,6530,0.5719
EL,EsteeLauderC,105.87,+0.49,0.46%,20872,184300,25.39%,+35.44%,3260,17612,5.4025
CSTM,ConstelliumN.,18.94,+0.39,2.10%,5790,36627,51.10%,+35.25%,178,5612,31.5281
FTNT,FortinetInc,61.01,+1.16,1.94%,10901,173982,5.81%,+34.63%,6171,4730,0.7665
SQ,BlockInc,64.58,+0.74,1.16%,66913,640064,40.99%,+34.52%,57258,9655,0.1686
WYNN,WynnResortsL,86.33,-1.34,-1.53%,18944,246317,9.12%,+33.38%,13332,5612,0.4209
DASH,DoordashIncC,107.45,-1.06,-0.98%,18850,241509,62.47%,+31.85%,11408,7442,0.6523
HUMA,HumacyteInc,5.11,-0.26,-4.84%,3022,38119,65.42%,+28.82%,2472,550,0.2225
NOK,NokiaCorpADR,3.89,+0.00,0.00%,6051,297274,28.61%,+27.96%,5596,455,0.0813
DAL,DeltaAirLine,46.71,-0.21,-0.45%,43872,691598,80.70%,+27.28%,26048,17824,0.6843
CORZ,CoreScientifi,10.26,+0.41,4.16%,67121,531763,32.47%,+25.47%,48552,18569,0.3825
LW,LambWestonHo,82.74,+0.00,0.00%,3502,80882,65.59%,+23.18%,2124,1378,0.6488
CVE,CenovusEnergy,20.2,+0.41,2.07%,8837,243595,25.18%,+23.16%,8529,308,0.0361
"AMZN
watching",Amazon.comInc,200,+2.80,1.42%,860047,4415329,59.10%,+22.96%,672945,187102,0.2780
DPZ,DominPizza,492.61,-12.74,-2.52%,2507,26712,58.85%,+22.77%,1744,763,0.4375
BIDU,BaiduIncADR,86.87,+0.66,0.77%,46842,337352,8.32%,+21.40%,38894,7948,0.2044
PSTG,PureStorageI,62.77,-2.74,-4.18%,5021,73995,20.75%,+21.28%,2760,2261,0.8192
MPC,MarathonPetro,174.14,-0.65,-0.37%,5826,116406,46.74%,+19.19%,2741,3085,1.1255
IREN,IrisEnergyLt,14.39,+1.77,14.03%,67506,505131,23.12%,+19.13%,46463,21043,0.4529
VZ,VerizonCommun,41.1,-0.64,-1.53%,44470,830119,38.94%,+17.73%,31294,13176,0.4210
XPEV,XpengIncADR,7.63,-0.08,-1.04%,19267,320650,13.25%,+16.20%,11860,7407,0.6245
KGC,KinrossGoldC,8.02,-0.22,-2.67%,7639,213843,9.71%,+15.13%,5971,1668,0.2794
LVS,LasVegasSand,42.31,-0.57,-1.33%,22328,272470,70.48%,+14.53%,10504,11824,1.1257
BTU,PeabodyEnergy,23.48,-0.29,-1.22%,13830,273180,44.32%,+13.67%,7523,6307,0.8384
ABBV,AbbvieInc,165.96,-4.41,-2.59%,16503,294890,48.78%,+12.44%,11305,5198,0.4598
TFC,TruistFinanci,39.56,+0.31,0.79%,13309,229315,16.24%,+11.79%,5961,7348,1.2327
ZI,ZoominfoTechn,12.25,-0.43,-3.39%,15025,348920,61.23%,+11.34%,14375,650,0.0452
MRNA,ModernaInc,117.07,+1.12,0.97%,42865,366891,43.80%,+11.20%,21611,21254,0.9835
F,FordMotorCom,12.87,+0.11,0.86%,122023,2430218,66.46%,+9.84%,67480,54543,0.8083
ENVX,EnovixCorp,14.19,-0.91,-6.03%,44649,686780,52.02%,+9.21%,33909,10740,0.3167
WFC,WellsFargo&,60.97,+0.38,0.63%,56317,1221641,39.90%,+8.81%,41040,15277,0.3722
CHTR,CharterCommun,303.5,+7.48,2.53%,3872,66970,69.36%,+8.40%,1192,2680,2.2483
JPM,JPMorganChas,208.83,+3.38,1.65%,88826,855064,41.04%,+8.38%,56190,32636,0.5808
UPS,UnitedParcel,134.91,-1.04,-0.76%,25997,339993,62.20%,+7.95%,13786,12211,0.8858
AMD,AdvMicroDevi,164.32,+6.63,4.20%,776945,2749938,57.02%,+7.48%,548605,228340,0.4162
PNC,PNCBank,158.84,+2.70,1.73%,3669,61600,42.42%,+7.41%,1703,1966,1.1544
PYPL,PaypalHolding,58.97,+1.16,2.01%,117525,1626093,55.01%,+7.32%,76687,40838,0.5325
ISRG,IntuitiveSurg,438.81,+2.57,0.59%,4270,52326,39.38%,+6.83%,2277,1993,0.8753
AAL,AmericanAirli,11.05,+0.01,0.09%,122801,3434101,65.66%,+5.63%,53223,69578,1.3073
MDB,MongodbIncCl,259.88,-3.63,-1.38%,27075,144108,21.57%,+5.39%,14361,12714,0.8853
SBSW,SibanyeGoldL,4.26,+0.04,0.95%,6801,255837,32.95%,+5.16%,2954,3847,1.3023
NTNX,NutanixInc,59.79,+0.38,0.64%,2668,84664,21.25%,+4.14%,2336,332,0.1421
SOFI,SofiTechnolog,6.45,+0.02,0.31%,165159,2670531,34.16%,+3.95%,129127,36032,0.2790
CERE,CerevelTherap,41.23,-0.12,-0.29%,5450,103067,34.98%,+3.63%,27,5423,200.8519
WM,WasteManageme,209.47,+0.11,0.05%,3591,31457,63.80%,+3.58%,2893,698,0.2413
HAL,HalliburtonCo,33.62,+0.19,0.57%,19972,367866,26.98%,+3.20%,4638,15334,3.3062
PG,Procter&Gamb,163.9,+1.18,0.73%,15354,270127,33.85%,+2.27%,10002,5352,0.5351
BMY,Bristol-Myers,40.45,-0.85,-2.06%,36559,748980,85.78%,+2.02%,23749,12810,0.5394
TLRY,TilrayBrands,1.65,-0.03,-1.79%,22721,661034,2.90%,+1.37%,18781,3940,0.2098
OXY,OccidentalPet,62.36,-0.52,-0.83%,72288,906326,14.09%,+0.74%,45782,26506,0.5790
ENPH,EnphaseEnergy,95.77,-1.49,-1.53%,52574,292238,69.10%,+0.73%,37007,15567,0.4207
DVN,DevonEnergyC,47.77,+0.04,0.08%,27186,539324,8.06%,+0.68%,22853,4333,0.1896
SCHW,TheCharlesSc,74.15,+0.73,0.99%,17676,495238,23.52%,+0.35%,9705,7971,0.8213
INTC,IntelCorp,31.07,+0.23,0.75%,198824,3167125,59.93%,+0.29%,124187,74637,0.6010
QS,QuantumscapeC,4.83,-0.04,-0.82%,10713,309525,14.40%,+0.08%,9807,906,0.0924
MAXN,MaxeonSolarT,0.1799,-0.37,-67.22%,54549,862452,67.93%,+0.02%,5755,48794,8.4785
SG,SweetgreenInc,27.97,-1.36,-4.64%,4015,77400,60.34%,-0.59%,1497,2518,1.6820
WOLF,WolfspeedInc,23.83,+1.29,5.72%,10520,267758,35.33%,-0.71%,9103,1417,0.1557
UBER,UberTechnolog,70.67,-0.43,-0.60%,77118,1098089,42.72%,-0.75%,54365,22753,0.4185
GEO,GeoGroupInc,15.29,+0.26,1.73%,6059,175656,31.07%,-1.42%,5826,233,0.0400
GSK,GskPlcADR,38.21,-0.17,-0.44%,6013,91265,70.74%,-1.65%,3988,2025,0.5078
MA,MastercardInc,444.65,+7.04,1.61%,10806,147995,51.91%,-1.70%,4295,6511,1.5159
T,AT&TInc,18.82,-0.16,-0.84%,54151,1254623,39.28%,-1.81%,42291,11860,0.2804
VLO,ValeroEnergy,157.96,-0.02,-0.01%,9080,178101,36.62%,-2.33%,5416,3664,0.6765
OPRA,OperaLtdADR,12.73,-1.10,-7.95%,2694,43033,3.32%,-2.60%,1491,1203,0.8068
HIVE,HiveDigitalT,3.14,-0.08,-2.48%,3794,101190,16.13%,-2.72%,3543,251,0.0708
ABT,AbbottLaborat,103.2,+0.00,0.00%,11740,211800,50.80%,-3.33%,8190,3550,0.4335
DE,Deere&Compan,364.95,+3.96,1.10%,7253,89492,0.40%,-3.33%,3845,3408,0.8863
CLS,CelesticaInc,58.67,+0.88,1.52%,3134,77166,41.94%,-3.66%,2282,852,0.3734
M,MacInc,17.82,-0.43,-2.36%,15636,257047,42.88%,-4.06%,8239,7397,0.8978
IQ,IqiyiIncADR,3.63,+0.05,1.40%,9941,340892,5.22%,-4.10%,9454,487,0.0515
ET,EnergyTransfe,16.4,+0.04,0.24%,27153,927013,13.34%,-4.17%,23577,3576,0.1517
PARA,ParamountGlob,10.72,+0.58,5.72%,56098,786061,23.26%,-4.70%,46449,9649,0.2077
LYV,LiveNationEn,96.7,+1.93,2.04%,2613,104493,27.31%,-4.84%,1797,816,0.4541
ULTA,UltaBeautyIn,393.02,+8.61,2.24%,8103,64456,9.11%,-5.08%,4028,4075,1.0117
OLLI,OlliesBargain,98.32,-0.06,-0.06%,3598,24572,6.38%,-5.76%,3374,224,0.0664
RUN,SunrunInc,10.95,+0.03,0.32%,28097,553248,30.09%,-6.16%,14814,13283,0.8967
SPWR,SunpowerCorp,2.43,-0.28,-10.33%,24045,160583,20.58%,-6.22%,9973,14072,1.4110
CSIQ,CanadianSolar,14.54,+0.53,3.78%,3010,114455,51.52%,-6.72%,2332,678,0.2907
CF,CfIndustries,70.83,-2.55,-3.48%,3368,101936,30.65%,-6.86%,1594,1774,1.1129
CRDO,CredoTechnolo,31.35,+0.13,0.42%,2958,34803,27.23%,-6.95%,2767,191,0.0690
BTBT,BitDigitalIn,3.24,-0.15,-4.42%,8263,150015,27.56%,-7.00%,5758,2505,0.4350
MMM,3MCompany,101.62,+1.01,1.00%,9929,199555,51.73%,-7.53%,6855,3074,0.4484
RTX,RtxCorp,100.41,+0.86,0.86%,13740,377512,32.00%,-8.31%,8331,5409,0.6493
BABA,AlibabaGroup,73.68,+1.50,2.08%,132416,2172377,10.74%,-8.58%,113899,18517,0.1626
COST,CostcoWholesa,859.36,+13.69,1.62%,31275,238866,13.94%,-9.15%,15282,15993,1.0465
ROKU,RokuInc,61.36,-1.11,-1.78%,32259,297549,71.10%,-9.17%,20713,11546,0.5574
ALB,AlbemarleCorp,97.06,-0.35,-0.36%,19815,256951,62.03%,-9.57%,10439,9376,0.8982
CROX,CrocsInc,145.49,-2.26,-1.53%,4772,77012,37.59%,-10.01%,3147,1625,0.5164
BAC,BankofAmeric,40.93,+0.92,2.30%,182670,2971476,32.56%,-10.46%,118750,63920,0.5383
TGT,TargetCorp,145.39,-0.35,-0.24%,32114,355698,8.71%,-10.65%,25454,6660,0.2616
HE,HawaiianElect,8.51,+0.33,4.03%,3977,76046,23.91%,-10.71%,2797,1180,0.4219
TXN,TexasInstrume,198.42,+3.82,1.96%,10971,278836,76.15%,-11.30%,7219,3752,0.5197
NIO,NioIncADR,4.53,+0.09,2.03%,106174,2392012,13.42%,-11.32%,89891,16283,0.1811
TDOC,TeladocHealth,9.4,+0.08,0.86%,8965,186473,81.16%,-12.51%,8048,917,0.1139
CAR,AvisBudgetGr,105.03,+3.75,3.70%,2969,46564,53.51%,-12.63%,1826,1143,0.6260
ONON,OnHoldingAg,37.22,-0.81,-2.13%,11742,364251,22.82%,-12.92%,8064,3678,0.4561
DKS,DicSportin,198.2,-4.19,-2.07%,8635,123094,13.85%,-12.93%,6675,1960,0.2936
"AAPL
watching",AppleInc,220.27,+3.52,1.62%,1494489,6562421,60.52%,-13.10%,995974,498515,0.5005
MARA,MarathonDigit,22.12,-0.44,-1.95%,241771,1118725,3.43%,-13.20%,152981,88790,0.5804
UNP,UnionPacific,225.5,+0.64,0.28%,3340,85837,69.01%,-14.67%,1648,1692,1.0267
FSLR,FirstSolarIn,216.73,-5.98,-2.69%,39493,507155,60.40%,-15.53%,20470,19023,0.9293
"MSFT
watching",MicrosoftCorp,459.28,+2.55,0.56%,218512,2232293,50.15%,-15.54%,129969,88543,0.6813
CPRI,CapriHoldings,33.43,-0.49,-1.44%,7110,472198,20.30%,-16.43%,2042,5068,2.4819
NCLH,NorwegianCrui,17.61,-0.07,-0.40%,38105,572490,46.55%,-17.24%,25227,12878,0.5105
COP,Conocophillips,114.12,-0.24,-0.21%,14150,302670,26.19%,-17.30%,4092,10058,2.4580
NYCB,NewYorkCommu,3.45,+0.21,6.48%,11582,967776,23.51%,-17.37%,10312,1270,0.1232
CLOV,CloverHealth,1.22,+0.02,1.67%,6777,140067,22.34%,-17.38%,6396,381,0.0596
