Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
CPRI,CapriHoldings,33.92,+0.84,2.54%,14995,458571,57.71%,+74.81%,5065,9930,1.9605
CVE,CenovusEnergy,19.79,+0.13,0.66%,12331,232426,21.69%,+73.87%,11835,496,0.0419
MAXN,MaxeonSolarT,0.5488,-0.30,-35.66%,94498,809987,70.78%,+73.27%,37317,57181,1.5323
F,FordMotorCom,12.76,+0.22,1.75%,190415,2371987,63.17%,+72.25%,102204,88211,0.8631
CSIQ,CanadianSolar,14.01,-0.74,-5.02%,5453,111525,56.28%,+68.41%,3581,1872,0.5228
CXW,CorecivicInc,13.54,+0.56,4.31%,3601,57180,78.20%,+67.80%,2680,921,0.3437
MPW,MedicalProper,4.09,-0.22,-5.10%,84643,1156415,24.26%,+66.01%,24869,59774,2.4036
CPNG,CoupangIncCl,21.08,+0.13,0.62%,15704,303564,23.55%,+64.92%,11994,3710,0.3093
CHPT,ChargepointHl,1.48,-0.03,-1.99%,90796,834658,27.33%,+64.62%,87182,3614,0.0415
AZN,AstrazenecaPl,77.94,-0.05,-0.06%,7326,109087,51.43%,+64.19%,3096,4230,1.3663
AAP,AdvanceAutoP,59.71,-3.62,-5.72%,6723,102707,13.66%,+63.38%,3689,3034,0.8224
TUP,TupperwareCor,1.42,+0.02,1.43%,8167,98551,30.79%,+62.92%,3735,4432,1.1866
DE,Deere&Compan,360.99,-12.64,-3.38%,12121,85176,13.12%,+61.27%,6891,5230,0.7590
ALGN,AlignTechnolo,238.64,-2.79,-1.16%,3714,30534,68.23%,+56.91%,2548,1166,0.4576
CLSK,CleansparkInc,17.92,+1.97,12.35%,143439,478101,22.14%,+56.21%,111124,32315,0.2908
SO,SouthernCompa,77,-0.57,-0.73%,5105,85050,69.28%,+56.02%,1326,3779,2.8499
BURL,BurlingtonSto,233.02,-6.98,-2.91%,7259,46942,4.14%,+54.58%,3855,3404,0.8830
